experiment,bootstrap_type,dataset,preprocessing,h_mean,f1_score,normalized_di
preprocessing,No bootstrap,german,Reweighing,0.8493114316905679,0.8006102745801462,0.9076341526818925
fairboost,none,german,Reweighing,0.8493114316905679,0.8006102745801462,0.9076341526818925
fairboost,default,german,LFR,0.8338239550459894,0.8151282695721558,0.8576927468016926
preprocessing,No bootstrap,german,LFR,0.833141265110666,0.8131007820461047,0.859091390730559
fairboost,none,german,"LFR,Reweighing",0.826319242192392,0.7983753520495376,0.8596721870986499
fairboost,default,german,Reweighing,0.824785754417366,0.7844183638295805,0.8728619694279164
fairboost,none,german,LFR,0.8247347045837451,0.814121915441027,0.8390263023078754
preprocessing,No bootstrap,german,OptimPreproc,0.8197612498761829,0.8003545451713713,0.84208426485668
baseline,No bootstrap,german,No Preprocessing,0.819451313461181,0.8022678549818811,0.8401581840772581
fairboost,custom,german,"LFR,Reweighing",0.8186584133630579,0.791601726998789,0.8533304094644312
fairboost,none,german,OptimPreproc,0.8147721452551829,0.8038062544990175,0.8299401438516649
fairboost,none,german,"OptimPreproc,Reweighing",0.8123417000205512,0.795489728411118,0.8328410944367122
fairboost,default,german,OptimPreproc,0.808494508965679,0.7924817072603498,0.831300485383855
fairboost,none,german,"LFR,OptimPreproc,Reweighing",0.8057058226960104,0.7933972047561292,0.8222601896297836
fairboost,default,german,"LFR,Reweighing",0.8055653346095564,0.7903534124319862,0.8249998399367076
fairboost,none,german,"LFR,OptimPreproc",0.8022590961328213,0.8001841126034984,0.8096342495371176
ensemble,none,german,No Preprocessing,0.7959886408702265,0.7959859338229783,0.79927402519551
fairboost,default,german,"LFR,OptimPreproc",0.793812722061875,0.7964234385838018,0.7949246325384567
fairboost,default,german,"LFR,OptimPreproc,Reweighing",0.7930634465268469,0.7709698094367925,0.8214029316959337
fairboost,custom,german,"LFR,OptimPreproc",0.7809498993356065,0.7925398591054917,0.7755106891462473
fairboost,default,german,"OptimPreproc,Reweighing",0.7791580008399202,0.7620924090608596,0.8064264178887632
fairboost,none,compas,"OptimPreproc,Reweighing",0.7769762052480736,0.688511124978364,0.8952091579446375
preprocessing,No bootstrap,compas,Reweighing,0.7746010841918036,0.6925385088711571,0.8816544541910916
fairboost,none,compas,Reweighing,0.7746010841918036,0.6925385088711571,0.8816544541910916
fairboost,none,compas,"LFR,OptimPreproc,Reweighing",0.7728354701622975,0.6838869333150057,0.8911000193250951
fairboost,none,compas,"LFR,Reweighing",0.7658005754971696,0.688993114814865,0.8646407959805925
fairboost,custom,german,"LFR,OptimPreproc,Reweighing",0.7652692656180831,0.7569278523189484,0.7906401234774432
fairboost,custom,compas,"LFR,Reweighing",0.7608932641838613,0.6799831338287621,0.8673210261313702
fairboost,default,compas,Reweighing,0.7594681808272608,0.6841972858385195,0.858414175091317
fairboost,custom,german,"OptimPreproc,Reweighing",0.7589923791301639,0.7714178982023547,0.7586734112235517
fairboost,none,compas,OptimPreproc,0.7584605176807103,0.7012503748437673,0.8307971921968029
fairboost,none,compas,"LFR,OptimPreproc",0.7576792832521454,0.693508797948085,0.8395723069863558
preprocessing,No bootstrap,compas,OptimPreproc,0.7575704368977627,0.7028213364483036,0.8265559917156375
fairboost,default,compas,"LFR,Reweighing",0.7572804473366183,0.679812799255445,0.8600431664334753
fairboost,custom,compas,"OptimPreproc,Reweighing",0.7536104867879001,0.671893028433912,0.86259486890951
fairboost,default,compas,"LFR,OptimPreproc",0.7531880769530801,0.6861397413950193,0.8412907401257718
fairboost,default,compas,"LFR,OptimPreproc,Reweighing",0.7525063017083928,0.6615967464356252,0.8784035820525125
fairboost,custom,compas,"LFR,OptimPreproc,Reweighing",0.7495942422192938,0.6669310092930876,0.8623490859626113
fairboost,custom,compas,"LFR,OptimPreproc",0.7452778814789497,0.6809362526872353,0.8290439501473974
fairboost,default,compas,OptimPreproc,0.7444730302973935,0.6845933741944437,0.8214893960751697
fairboost,default,compas,"OptimPreproc,Reweighing",0.7408526488248572,0.658062971236608,0.8512670378557179
fairboost,default,compas,LFR,0.7212660889307071,0.7035679227691093,0.7412805348041638
fairboost,none,compas,LFR,0.7195672911059375,0.70244281009634,0.7389848046194492
preprocessing,No bootstrap,compas,LFR,0.7151220529163651,0.7022334532649032,0.7299686299711443
ensemble,none,compas,No Preprocessing,0.7081719130129931,0.6936953592502924,0.7258306630957501
ensemble,custom,german,No Preprocessing,0.7078839335621758,0.7633711632130903,0.6819121943492583
baseline,No bootstrap,compas,No Preprocessing,0.7065049423101917,0.6958921053450053,0.7194202155118612
ensemble,custom,compas,No Preprocessing,0.6827324596390528,0.664917270207535,0.7102250629557987
ensemble,default,german,No Preprocessing,0.6793550543794007,0.7560593534536082,0.6404124338783677
ensemble,default,compas,No Preprocessing,0.6749332350987873,0.6619705764744007,0.7021475081948261
fairboost,default,adult,Reweighing,0.5490800786174683,0.46505815227692554,0.7017369714522426
preprocessing,No bootstrap,adult,Reweighing,0.5479346990018072,0.4537595408149123,0.708882014538687
fairboost,none,adult,Reweighing,0.5479346990018072,0.4537595408149123,0.708882014538687
preprocessing,No bootstrap,adult,LFR,0.5377935079097217,0.39649829483494214,0.8541795309320348
fairboost,default,adult,LFR,0.5331881997485866,0.38658011925746827,0.8707257684734421
fairboost,none,adult,LFR,0.5297485093041501,0.4017805121774257,0.8003003373992266
fairboost,default,adult,"LFR,Reweighing",0.5244969642418861,0.38802050753493245,0.8303649629285164
fairboost,none,adult,"LFR,Reweighing",0.5187940055993103,0.3908991043842647,0.7943075705370646
fairboost,custom,adult,"LFR,Reweighing",0.5164115155866734,0.38282273161278374,0.810762672320514
fairboost,default,adult,OptimPreproc,0.5129751019470881,0.45538745591832847,0.651565667132654
preprocessing,No bootstrap,adult,OptimPreproc,0.4987116145786986,0.4568491928765013,0.6060808202706214
fairboost,default,adult,"LFR,OptimPreproc",0.48732597267030603,0.37072144152419295,0.7431352624289613
fairboost,none,adult,OptimPreproc,0.4788431164164392,0.4674001627844422,0.5177364892481731
fairboost,custom,adult,"LFR,OptimPreproc",0.4723000770364989,0.36923798745146147,0.6991321670317484
fairboost,none,adult,"LFR,OptimPreproc",0.4714424258399642,0.36987263799637626,0.680027733231513
fairboost,default,adult,"LFR,OptimPreproc,Reweighing",0.47035588102254483,0.36902583362480923,0.6770409629288303
fairboost,custom,adult,"OptimPreproc,Reweighing",0.46224949292624073,0.4190396223609735,0.5769932407374558
fairboost,none,adult,"LFR,OptimPreproc,Reweighing",0.45188653475589025,0.36327892720261257,0.6437863476873094
fairboost,none,adult,"OptimPreproc,Reweighing",0.4501211650751774,0.42535423913945375,0.5204585557547075
fairboost,custom,adult,"LFR,OptimPreproc,Reweighing",0.44259273482208594,0.3616603618341119,0.6321896631733079
fairboost,default,adult,"OptimPreproc,Reweighing",0.4397925706226333,0.4253833380565303,0.48565537583679996
ensemble,default,adult,No Preprocessing,0.0,0.4540959446549315,0.0
ensemble,none,adult,No Preprocessing,0.0,0.4512675576757049,0.0
ensemble,custom,adult,No Preprocessing,0.0,0.4631799099991789,0.0
baseline,No bootstrap,adult,No Preprocessing,0.0,0.4678206108118297,0.0
