experiment,bootstrap_type,dataset,preprocessing,classifier,h_mean
fairboost,none,adult,Reweighing,Random Forest,"[0.4625295154320837, 0.5456524271576305, 0.5684085782057108, 0.5807747636312195, 0.4506131227859113, 0.5824518906714434, 0.4540412926490937, 0.5635496317728687, 0.5210593884162911, 0.48028663254260284]"
fairboost,none,adult,"LFR,OptimPreproc",Logistic Regression,"[0.529195744498826, 0.46097715425399444, 0.4751992467371777, 0.4523232700594166, 0.46468355447662435, 0.5498593576431752, 0.4570259794821004, 0.4428616147820684, 0.5106501360152842, 0.46506938714191826]"
fairboost,none,adult,"LFR,OptimPreproc",Random Forest,"[0.4959413256820177, 0.32454630071227236, 0.4472140512203599, 0.4746805208339865, 0.48416121342951834, 0.32907335500150026, 0.5217537675197804, 0.5657504506310223, 0.47744790512562685, 0.5004341815526137]"
fairboost,none,adult,"OptimPreproc,Reweighing",Logistic Regression,"[0.4443666419366523, 0.45810201681140544, 0.42212579053986643, 0.4506351751611586, 0.47317348304008555, 0.45667447937240735, 0.45719968498728986, 0.45458710094117616, 0.4599993699267478, 0.4483619496487041]"
fairboost,none,adult,"OptimPreproc,Reweighing",Random Forest,"[0.3956107118631823, 0.4728633092717179, 0.4697869627528603, 0.5339031522382084, 0.49216489659942986, 0.4712168066686731, 0.4796793984169876, 0.2550399648695132, 0.4677346180616831, 0.43919778839579954]"
fairboost,none,adult,"LFR,Reweighing",Logistic Regression,"[0.547141173052435, 0.5229612190167138, 0.5283117668238777, 0.5406188003597168, 0.5365136759279863, 0.5412600669973188, 0.5422755194975076, 0.5267033694648101, 0.49868723958155864, 0.5775911226699748]"
fairboost,none,adult,"LFR,Reweighing",Random Forest,"[0.5485399787659807, 0.5255614130273146, 0.44269525083385325, 0.4524231428079376, 0.5396418644542078, 0.47726065567704995, 0.4742629699064343, 0.5484804849889438, 0.47557561715601526, 0.5293747809765709]"
fairboost,none,adult,"LFR,OptimPreproc,Reweighing",Logistic Regression,"[0.529195744498826, 0.46097715425399444, 0.4500296334588368, 0.4523232700594166, 0.46468355447662435, 0.5498593576431752, 0.4570259794821004, 0.4428616147820684, 0.5106501360152842, 0.4640551694804867]"
fairboost,none,adult,"LFR,OptimPreproc,Reweighing",Random Forest,"[0.4644363442605821, 0.15532006347670033, 0.4372244954040603, 0.44066477845591817, 0.44655052751545526, 0.3238839978425513, 0.5178901350381544, 0.49354160781535666, 0.47867339966281675, 0.4978837314953958]"
fairboost,default,adult,OptimPreproc,Logistic Regression,"[0.43995001376266785, 0.580260050330356, 0.4352414403911105, 0.567318461039355, 0.4721641959062928, 0.5684379037085022, 0.5838972167098532, 0.4450437568843401, 0.4655245680510099, 0.4536119007575814]"
fairboost,default,adult,OptimPreproc,Random Forest,"[0.6032408247926629, 0.5214607861514928, 0.3877912882887166, 0.5421393779825762, 0.5631301213507853, 0.5435009506388209, 0.5426723419145381, 0.5123077889716772, 0.622637005293666, 0.40917204601575585]"
fairboost,default,adult,LFR,Logistic Regression,"[0.547141173052435, 0.5229612190167138, 0.5174969118120339, 0.5406188003597168, 0.5365136759279863, 0.5412600669973188, 0.5422755194975076, 0.5164229848648649, 0.49868723958155864, 0.5971870120428017]"
fairboost,default,adult,LFR,Random Forest,"[0.5311013493725053, 0.5229612190167138, 0.5283117668238777, 0.5406188003597168, 0.5441313802983647, 0.5292622497519656, 0.5543863357550256, 0.5164229848648649, 0.5096700537459165, 0.5263332518298424]"
fairboost,default,adult,Reweighing,Logistic Regression,"[0.5751000563440254, 0.5646795996369746, 0.3927255042163927, 0.5742735528088079, 0.585013436992287, 0.57406838463226, 0.5638552125029077, 0.5566561285202135, 0.5812122077367596, 0.5511222151025497]"
fairboost,default,adult,Reweighing,Random Forest,"[0.5796088415694234, 0.5241802825613601, 0.5503745552752344, 0.5584807188036828, 0.4075913778815831, 0.5675108137544272, 0.5408231364591546, 0.5756177523006087, 0.5815301545493065, 0.5771776407014092]"
fairboost,default,adult,"LFR,OptimPreproc",Logistic Regression,"[0.5506159951072588, 0.46076564376862, 0.4781392590365746, 0.5426012672352135, 0.4647983880290968, 0.4782519307183942, 0.548332572112465, 0.5237241765876355, 0.5100345292432097, 0.4656330275391192]"
fairboost,default,adult,"LFR,OptimPreproc",Random Forest,"[0.5299756956198259, 0.4917968637729447, 0.45917859770550146, 0.46667685181448637, 0.458112009957814, 0.3550838407195222, 0.5000735545557922, 0.45926088790423697, 0.48373662422695696, 0.5197277377514546]"
fairboost,default,adult,"OptimPreproc,Reweighing",Logistic Regression,"[0.4395209755801714, 0.5592143444608376, 0.402914366644795, 0.5593265506009076, 0.4385137496405204, 0.5315210928681152, 0.5473114463397072, 0.4199967372076781, 0.4638428916676656, 0.4526409856576467]"
fairboost,default,adult,"OptimPreproc,Reweighing",Random Forest,"[0.4703203042343304, 0.44633468954726274, 0.2370132327293946, 0.33205383989984166, 0.4688678353299739, 0.293297161321526, 0.2891461056850085, 0.4583035318316972, 0.5388310163075601, 0.4468805548980262]"
fairboost,default,adult,"LFR,Reweighing",Logistic Regression,"[0.547141173052435, 0.5229612190167138, 0.5174969118120339, 0.5406188003597168, 0.464947087582866, 0.5389838716048639, 0.5422755194975076, 0.5164229848648649, 0.49868723958155864, 0.5775911226699748]"
fairboost,default,adult,"LFR,Reweighing",Random Forest,"[0.5485399787659807, 0.5255614130273146, 0.44269525083385325, 0.5520777684724537, 0.5396418644542078, 0.5389838716048639, 0.5321647596542112, 0.5202967964728844, 0.4768002650431764, 0.5460513864662395]"
fairboost,default,adult,"LFR,OptimPreproc,Reweighing",Logistic Regression,"[0.5447992077152694, 0.4578494698902547, 0.44974006604250816, 0.546172544496502, 0.4649732782353906, 0.4820650870673727, 0.5454220589094854, 0.44057271059079084, 0.5144008111805232, 0.4651292696627589]"
fairboost,default,adult,"LFR,OptimPreproc,Reweighing",Random Forest,"[0.44513502455651205, 0.4179338223516664, 0.44840507301965715, 0.47309691228010997, 0.4780409517847246, 0.4677186043288092, 0.3365023238782423, 0.46285756066991074, 0.49847196343693806, 0.4678308803534696]"
fairboost,custom,adult,"LFR,OptimPreproc",Logistic Regression,"[0.409265470780114, 0.5319188671564231, 0.4443244903143283, 0.5405923072127734, 0.4652978233739288, 0.5482622134444015, 0.45871741961756496, 0.4440319666629298, 0.5087282242251446, 0.4635893353746665]"
fairboost,custom,adult,"LFR,OptimPreproc",Random Forest,"[0.581908159083726, 0.4710986250804173, 0.34517262998859227, 0.4935347912028141, 0.48567963237464773, 0.49546970606320545, 0.44333546518446054, 0.49152081184176016, 0.34609486430872927, 0.47745873743934886]"
fairboost,custom,adult,"OptimPreproc,Reweighing",Logistic Regression,"[0.4326317800363283, 0.47649250458679265, 0.4205352581062981, 0.5307419332597665, 0.44278474497089615, 0.5417150233577512, 0.5428044727106967, 0.5565553459599276, 0.461306756538228, 0.5573824998422979]"
fairboost,custom,adult,"OptimPreproc,Reweighing",Random Forest,"[0, 0.4555669948214476, 0.3446761856720782, 0.4861649945872349, 0.4943329974136284, 0.491870575933152, 0.5401794263423285, 0.5349167183137881, 0.47799197633647433, 0.4563396697356995]"
fairboost,custom,adult,"LFR,Reweighing",Logistic Regression,"[0.547141173052435, 0.5229612190167138, 0.5174969118120339, 0.5406188003597168, 0.5365136759279863, 0.5412600669973188, 0.5422755194975076, 0.5164229848648649, 0.49868723958155864, 0.5775911226699748]"
fairboost,custom,adult,"LFR,Reweighing",Random Forest,"[0.5570806404389315, 0.45262952911639365, 0.5283117668238777, 0.47797694474510355, 0.4533634046375752, 0.5389838716048639, 0.44548555383434146, 0.5053678661941418, 0.49868723958155864, 0.5293747809765709]"
fairboost,custom,adult,"LFR,OptimPreproc,Reweighing",Logistic Regression,"[0.5301362534454189, 0.45736687328907444, 0.4500568595318398, 0.4507277327891812, 0.46428370085147513, 0.5492967292992063, 0.5454975982547067, 0.5243682772786113, 0.5064269076142286, 0.49587828710098963]"
fairboost,custom,adult,"LFR,OptimPreproc,Reweighing",Random Forest,"[0.2808009456218874, 0.47104901744920447, 0.5105019396838096, 0.4916630715870079, 0.47364691632011274, 0.398845825685474, 0.44200474360039604, 0.19284111788860425, 0.3110636200231335, 0.30539827912735656]"
ensemble,none,compas,No Preprocessing,Logistic Regression,"[0.7039543058478847, 0.6722019931940838, 0.6982299683375244, 0.7189170704113879, 0.7113431592274, 0.6893133922419816, 0.6789675436007805, 0.6984891157274641, 0.6872491869402828, 0.6911355848783781]"
ensemble,none,compas,No Preprocessing,Random Forest,"[0.7377051591409405, 0.6785058892389606, 0.7027834364788121, 0.7372240947246347, 0.7335465659485038, 0.7094955636257596, 0.6979357100736465, 0.7600917807424478, 0.7311871254284056, 0.7251616144505838]"
ensemble,default,compas,No Preprocessing,Logistic Regression,"[0.6696475774380937, 0.6631761906389572, 0.6581088907003488, 0.6785149053424631, 0.6721908169867639, 0.5814335450117465, 0.6014010942312963, 0.5782759808024437, 0.6796444494563295, 0.6842578633890953]"
ensemble,default,compas,No Preprocessing,Random Forest,"[0.7293393228216046, 0.7085869822463817, 0.6160668220816694, 0.7119800373931231, 0.735774681427837, 0.7328902137486604, 0.6857676309029309, 0.6385348381186843, 0.6898688519316364, 0.7832040073056791]"
ensemble,custom,compas,No Preprocessing,Logistic Regression,"[0.6519630015134804, 0.5990556404870774, 0.6537399689773407, 0.6605759008565764, 0.7198192985168058, 0.641864968157762, 0.6845878091077634, 0.6932068777415398, 0.6887227606275399, 0.6756225397049209]"
ensemble,custom,compas,No Preprocessing,Random Forest,"[0.7338650677363324, 0.6713307276421532, 0.7349271096883014, 0.6395209120928753, 0.7512762203590216, 0.7584051538056987, 0.7576414967702815, 0.717427279575092, 0.589221756062985, 0.6318747033575095]"
fairboost,none,compas,OptimPreproc,Logistic Regression,"[0.7192285941755608, 0.8012847925942352, 0.7090922908027049, 0.7332468738762129, 0.7329626342259631, 0.7613268983888772, 0.7381536503339402, 0.7279559183602464, 0.7913241127739281, 0.7136315278227485]"
fairboost,none,compas,OptimPreproc,Random Forest,"[0.7616273513331595, 0.764941225346719, 0.7675514479669323, 0.797565849368872, 0.8075275326640676, 0.7473348661771588, 0.753488291279868, 0.8063019712095207, 0.7442273530389291, 0.7904371718745633]"
fairboost,none,compas,LFR,Logistic Regression,"[0.7221541931043685, 0.673964973496969, 0.7088583346658754, 0.6892539646098302, 0.7334796832443194, 0.7213436478327019, 0.7350610886772183, 0.7235042795320827, 0.7190061533233533, 0.738891268010333]"
fairboost,none,compas,LFR,Random Forest,"[0.727439143822099, 0.6802725815140162, 0.7200102663781011, 0.7222198719163333, 0.7334796832443194, 0.7362355701771665, 0.7360738748895714, 0.7188880427301991, 0.7145620837552378, 0.7366471171946533]"
fairboost,none,compas,Reweighing,Logistic Regression,"[0.7381136132183149, 0.805448905680871, 0.742766526337263, 0.7622945548301555, 0.7594921767495448, 0.8290948442119088, 0.7854000922719151, 0.7343088423180476, 0.7745245267771466, 0.7699806252253699]"
fairboost,none,compas,Reweighing,Random Forest,"[0.7472274999490232, 0.8020716955458509, 0.7393716612559694, 0.7753906686242221, 0.8117621343921433, 0.7667021044628095, 0.7507122045779061, 0.7938657358503879, 0.8149287205575884, 0.7885645509996358]"
fairboost,none,compas,"LFR,OptimPreproc",Logistic Regression,"[0.7403142782594078, 0.7035360709678354, 0.7312943340978131, 0.7014316199981437, 0.738803947943159, 0.7665697078938082, 0.7307421604697718, 0.741999361422235, 0.7476229680058568, 0.7505685249862135]"
fairboost,none,compas,"LFR,OptimPreproc",Random Forest,"[0.7567249713778775, 0.7913374360628477, 0.7907239571631337, 0.7617631025745184, 0.7814285553428358, 0.8058300705080859, 0.7779649021100934, 0.8045730179668885, 0.8004570173697143, 0.7298996605226675]"
fairboost,none,compas,"OptimPreproc,Reweighing",Logistic Regression,"[0.7417304810150711, 0.8134503422090273, 0.7395220227027345, 0.7591152720804043, 0.7651751248417475, 0.8316292906768707, 0.7804621063973831, 0.7366103914628469, 0.7891651933767229, 0.7446647722084627]"
fairboost,none,compas,"OptimPreproc,Reweighing",Random Forest,"[0.7911902594589305, 0.8117029587031965, 0.7662173384398138, 0.7799934731994981, 0.7592377430654581, 0.7629973435491894, 0.7588003590736795, 0.8030781763104794, 0.8010521621665675, 0.8037292940233896]"
fairboost,none,compas,"LFR,Reweighing",Logistic Regression,"[0.7381136132183149, 0.7666367712747343, 0.742766526337263, 0.7281692149427826, 0.7594921767495448, 0.8177762768978621, 0.7674277463354048, 0.7235042795320827, 0.7671366419167353, 0.7699806252253699]"
fairboost,none,compas,"LFR,Reweighing",Random Forest,"[0.7767454516106717, 0.764918309378685, 0.7547188687666867, 0.7974101529124832, 0.7883078769276305, 0.8252525964352082, 0.7561849778361772, 0.7660110380199744, 0.7462179168247917, 0.7592404488009897]"
fairboost,none,compas,"LFR,OptimPreproc,Reweighing",Logistic Regression,"[0.755160097601385, 0.7809135697616227, 0.752471679134374, 0.7275581109277248, 0.7555779229665963, 0.7790622981391787, 0.7677295066984594, 0.741999361422235, 0.7734594188917165, 0.7691306593311753]"
fairboost,none,compas,"LFR,OptimPreproc,Reweighing",Random Forest,"[0.7846622574813691, 0.7978702704175338, 0.8036333078698185, 0.796178196506904, 0.7738739929843044, 0.7851575698827706, 0.7644932286452217, 0.7778108339438183, 0.8230561606991603, 0.7469109599405801]"
fairboost,default,compas,OptimPreproc,Logistic Regression,"[0.7135769571085261, 0.7512916486722748, 0.7613751426282465, 0.7064898538189618, 0.7003759425802963, 0.7963033400834758, 0.733095316606828, 0.6722142994745122, 0.8220884085615968, 0.737852489551575]"
fairboost,default,compas,OptimPreproc,Random Forest,"[0.7592125217330599, 0.8104232687451254, 0.7222116550222432, 0.7536240011889347, 0.7192415403805994, 0.7782807587060362, 0.7173441461398234, 0.7048201142901878, 0.797831908093634, 0.7318072925619332]"
fairboost,default,compas,LFR,Logistic Regression,"[0.7149691620706262, 0.6688879500009318, 0.7088583346658754, 0.6892539646098302, 0.7334796832443194, 0.7213436478327019, 0.7334469983160526, 0.7235042795320827, 0.7151190874096891, 0.738891268010333]"
fairboost,default,compas,LFR,Random Forest,"[0.727439143822099, 0.7215070159987769, 0.7331107805737708, 0.6897981983929266, 0.7398665704539014, 0.7428076682712296, 0.7235347916364012, 0.7234598291883156, 0.7332302411237706, 0.742813163460509]"
fairboost,default,compas,Reweighing,Logistic Regression,"[0.7460075448101897, 0.7688358173265321, 0.7029556279139846, 0.7381209390143376, 0.7331011562016406, 0.8290948442119088, 0.7323541895882801, 0.8079763781548169, 0.7858772748035294, 0.8025079510258383]"
fairboost,default,compas,Reweighing,Random Forest,"[0.764249843183015, 0.7377495170391748, 0.789941731538871, 0.7395903532390538, 0.7140158393280346, 0.7724978821313709, 0.7507700291841881, 0.7136254913462462, 0.7965910125284493, 0.7635001939757563]"
fairboost,default,compas,"LFR,OptimPreproc",Logistic Regression,"[0.7298793833314619, 0.6918488864239958, 0.7243181961327707, 0.7074844647255242, 0.6852100510747523, 0.8185460937980724, 0.8008642283975078, 0.7285568893715603, 0.7478447171527252, 0.7527206783631851]"
fairboost,default,compas,"LFR,OptimPreproc",Random Forest,"[0.7179588199470335, 0.7638616803662581, 0.7554638547073179, 0.780482014400803, 0.7636533027154704, 0.8285363942252982, 0.7690336423767081, 0.7493383623827504, 0.7786562897267678, 0.7695035894416372]"
fairboost,default,compas,"OptimPreproc,Reweighing",Logistic Regression,"[0.7743022394993054, 0.7176014558334001, 0.7555672115844377, 0.7625372919530148, 0.7081886465944263, 0.8068887666545859, 0.7508467354499606, 0.7134730502384105, 0.8141890085008845, 0.758910362002549]"
fairboost,default,compas,"OptimPreproc,Reweighing",Random Forest,"[0.7095613562330835, 0.6879618140478578, 0.7694425761133425, 0.7740333777273088, 0.7639626320826794, 0.7726137716306947, 0.6929974837365025, 0.6562172342280096, 0.6981381921705683, 0.7296197702161233]"
fairboost,default,compas,"LFR,Reweighing",Logistic Regression,"[0.7173272377545461, 0.731430192218856, 0.740979274900474, 0.8111484630554703, 0.7280250906179615, 0.757231737446713, 0.7553404042375943, 0.7235042795320827, 0.821107266936815, 0.779656281182765]"
fairboost,default,compas,"LFR,Reweighing",Random Forest,"[0.6984274547378267, 0.7666504885452682, 0.7420147523091071, 0.7896443665353042, 0.794844997551627, 0.7421565243452107, 0.7534898471219714, 0.7867080754604285, 0.7592292926805995, 0.7466929195617426]"
fairboost,default,compas,"LFR,OptimPreproc,Reweighing",Logistic Regression,"[0.7383964025180014, 0.7110029592300622, 0.7511041040662622, 0.7719725659905652, 0.7702503485189969, 0.6657633848164977, 0.7990148844328676, 0.740599557501704, 0.7563965855031687, 0.7734182582571746]"
fairboost,default,compas,"LFR,OptimPreproc,Reweighing",Random Forest,"[0.7116231071583955, 0.7567376548897061, 0.7829602153559654, 0.7864540232131809, 0.7621268105995495, 0.7680268607087543, 0.7301344872907969, 0.762761068719127, 0.7697514428939135, 0.7416313125031669]"
fairboost,custom,compas,"LFR,OptimPreproc",Logistic Regression,"[0.7870523371933573, 0.6970568566209673, 0.7463051843736783, 0.7097921110442722, 0.7366813452622076, 0.8017413180776325, 0.7428744051828923, 0.7475973313467164, 0.7527052308637092, 0.7273318522715007]"
fairboost,custom,compas,"LFR,OptimPreproc",Random Forest,"[0.794124569226881, 0.7567909714389033, 0.7019809942080104, 0.7407422354635684, 0.7448284578544782, 0.7405848190153227, 0.6846135740089375, 0.7800064421766135, 0.7475657797486054, 0.7651818142007393]"
fairboost,custom,compas,"OptimPreproc,Reweighing",Logistic Regression,"[0.7581475894488757, 0.8058538899099247, 0.7520227602739618, 0.7376139710002102, 0.7186343418420883, 0.7885964111631368, 0.8036938542852081, 0.796101125749625, 0.7944936789303182, 0.7394950682195485]"
fairboost,custom,compas,"OptimPreproc,Reweighing",Random Forest,"[0.6925700346234002, 0.736817952736419, 0.7035995905025114, 0.7243437877228027, 0.784821759386056, 0.6988524036344211, 0.7431655709184727, 0.7863902510289936, 0.7357989080045328, 0.7711967863774958]"
fairboost,custom,compas,"LFR,Reweighing",Logistic Regression,"[0.731681447069239, 0.7622954065872866, 0.7038470960437098, 0.8111484630554703, 0.7874965204429177, 0.7748271187384868, 0.7278254759398355, 0.7235042795320827, 0.7722000414023036, 0.778926863772759]"
fairboost,custom,compas,"LFR,Reweighing",Random Forest,"[0.7936547109794888, 0.7759592774515289, 0.7273403313991539, 0.7342593921984862, 0.7424078491600019, 0.7650314699532794, 0.7567050100153453, 0.7773732630384068, 0.7865973579078239, 0.7847839089896206]"
fairboost,custom,compas,"LFR,OptimPreproc,Reweighing",Logistic Regression,"[0.7463758786724002, 0.73890048071627, 0.7522708713675355, 0.6879271610292796, 0.7718270403164402, 0.7333708755132393, 0.7671187845620641, 0.7863457534184697, 0.7949965240502687, 0.7683434753824565]"
fairboost,custom,compas,"LFR,OptimPreproc,Reweighing",Random Forest,"[0.7902034684673137, 0.7770932923106397, 0.7610668267977011, 0.7797081094079367, 0.7206876166630231, 0.6367461309375916, 0.7810802695560021, 0.7033282927633494, 0.7244587503858195, 0.7700352420680759]"
